Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
cross_c++_tar-default,110616838296,2164862973,3582736,2168445709,51.0964,51.0120,3520.670006855,0,3520.670006855
linux-default,205211416948,4522295596,8726487,4531022083,45.3777,45.2903,4230.370691242,0,4230.370691242
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,4328.425799719,0,4328.425799719
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,50.205202097,0,50.205202097
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,18.709649177,0,18.709649177
gcc-default,40468435629,979494133,13116879,992611012,41.3156,40.7696,1334.776553885,0,1334.776553885
react-default,2886518499,69460470,1071955,70532425,41.5562,40.9247,75.275758153,0,75.275758153
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,85.613825855,0,85.613825855
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,270.219527486,0,270.219527486
