Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.244139829,.000541527,34.244681356
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.148972755,.000572317,13.149545072
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1077.454674554,.000501837,1077.455176391
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.660879591,.000515535,58.661395126
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.153569177,.000514860,65.154084037
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.423289098,.000573299,210.423862397
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3350.754078959,.000541210,3350.754620169
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3408.929606147,.000517127,3408.930123274
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.073666115,.000508598,58.074174713
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.727877545,.000513513,65.728391058
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,209.905308214,.000525376,209.905833590
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3348.141270758,.000514823,3348.141785581
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3418.994108892,.002883258,3418.996992150
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,34.015894167,.000504453,34.016398620
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,12.941541125,.000583229,12.942124354
gcc-repack,40468435629,2100652340,13144585,2113796925,19.2646,19.1449,1076.486347911,.000494573,1076.486842484
