Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,45.236267745,0,45.236267745
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,17.246512399,0,17.246512399
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1282.358307548,0,1282.358307548
react-default,2886518499,69460414,1071979,70532393,41.5563,40.9247,72.077537503,0,72.077537503
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,79.792171829,0,79.792171829
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,267.782671407,0,267.782671407
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3701.124271515,0,3701.124271515
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3853.021151791,0,3853.021151791
automake-default,436715292,44709024,167335,44876359,9.7679,9.7315,35.763348448,0,35.763348448
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.026224819,0,14.026224819
gcc-default,40468435629,979498229,13116903,992615132,41.3154,40.7695,1199.314001089,0,1199.314001089
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.469524141,0,61.469524141
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.642194131,0,68.642194131
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.049512980,0,249.049512980
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3696.232487333,0,3696.232487333
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3852.706770609,0,3852.706770609
automake-default,436715292,44709024,167335,44876359,9.7679,9.7315,35.763348448,0,35.763348448
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.026224819,0,14.026224819
gcc-default,40468435629,979498229,13116903,992615132,41.3154,40.7695,1199.314001089,0,1199.314001089
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.469524141,0,61.469524141
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.642194131,0,68.642194131
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.049512980,0,249.049512980
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3696.232487333,0,3696.232487333
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3852.706770609,0,3852.706770609
automake-default,436715292,44709024,167335,44876359,9.7679,9.7315,35.763348448,0,35.763348448
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.026224819,0,14.026224819
gcc-default,40468435629,979498229,13116903,992615132,41.3154,40.7695,1199.314001089,0,1199.314001089
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.469524141,0,61.469524141
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.642194131,0,68.642194131
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.049512980,0,249.049512980
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3696.232487333,0,3696.232487333
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3852.706770609,0,3852.706770609
automake-default,436715292,44709024,167335,44876359,9.7679,9.7315,35.763348448,0,35.763348448
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.026224819,0,14.026224819
gcc-default,40468435629,979498229,13116903,992615132,41.3154,40.7695,1199.314001089,0,1199.314001089
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.469524141,0,61.469524141
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.642194131,0,68.642194131
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.049512980,0,249.049512980
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3696.232487333,0,3696.232487333
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3852.706770609,0,3852.706770609
automake-default,436715292,44709024,167335,44876359,9.7679,9.7315,35.763348448,0,35.763348448
